Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Teemu Räty;Vihreä liitto;Kajaani;alempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;male;3;3;1;3;2;2;2;2;2;0;3;3;3;3;2;1;1;2;3;3;2;0;0;0;2
Teemu Salmela;Vasemmistoliitto;Siuntio;ylempi korkeakoulututkinto;1987;suomi;suomi, englanti;male;3;2;1;0;0;0;1;3;3;0;3;2;3;2;2;1;0;2;3;3;3;2;0;2;3
Teemu Soini;Kansallinen Kokoomus;Kuopio;ylioppilas;1981;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;3;1;1;2;2;2;0;2;0;3;2;3;1;2;2;2;3;0;3;2;3;2
Teemu Suihko;Suomen Sosialidemokraattinen Puolue;Joensuu;ylioppilas;1998;suomi;suomi, englanti;male;3;2;1;0;1;0;3;3;0;1;2;2;3;2;0;1;0;3;3;2;0;0;0;2;2
Teemu Takalo;Kansallinen Kokoomus;Kajaani;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;2;1;3;3;2;2;2;2;2;0;2;0;3;2;1;1;3;1;2;1;0;1;2;1;1
Teemu Tarvainen;Suomen Sosialidemokraattinen Puolue;Espoo;ylempi korkeakoulututkinto;1983;suomi;suomi;male;3;2;0;1;2;2;3;3;2;0;3;2;3;3;1;0;1;1;3;3;2;1;0;3;3
Teemu Toivonen;Vasemmistoliitto;Hämeenlinna;ammattitutkinto;1998;suomi;suomi, englanti;male;3;3;0;0;0;0;2;2;3;0;3;3;3;3;0;0;0;3;3;3;2;1;0;3;3
Teemu Vallius;Vasemmistoliitto;Turku;alempi korkeakoulututkinto;1984;suomi;suomi, englanti;male;3;3;0;0;1;1;0;3;3;0;3;2;3;3;1;1;2;3;3;2;2;2;0;3;3
Teemu Virtanen;Suomen Sosialidemokraattinen Puolue;Vaasa;ammattitutkinto;1988;suomi;suomi, englanti;male;3;2;2;0;1;1;2;3;0;2;0;1;2;2;0;2;1;1;1;2;0;1;1;3;0
Teemu Voutilainen;Suomen Keskusta;Ulvila;ammattitutkinto;2000;suomi;suomi, englanti;male;3;3;1;2;1;2;1;3;0;0;2;2;3;2;1;2;0;1;0;3;0;0;0;3;0
Teemu Äikäs;Suomen Sosialidemokraattinen Puolue;Forssa;ylioppilas;1982;suomi;suomi, ruotsi, englanti, venäjä;male;3;2;1;3;0;2;3;2;2;1;2;3;3;3;1;3;0;1;3;3;2;1;1;1;3
Teija Airaksinen;Suomen Kristillisdemokraatit (KD);Kuopio;ylioppilas;1962;suomi;suomi;female;1;0;2;2;2;2;1;2;0;2;0;0;2;2;2;2;2;2;1;3;0;3;2;1;0
Teija Alanen;Vihreä liitto;Joensuu;ylempi korkeakoulututkinto;1981;suomi;suomi, englanti;female;1;2;0;3;2;1;1;2;2;1;3;1;3;3;1;2;2;3;3;3;3;0;0;2;3
Teija Autio;Suomen Sosialidemokraattinen Puolue;Lappeenranta;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti, espanja;female;2;1;1;1;2;1;2;2;1;1;1;1;2;2;1;1;1;2;0;2;2;0;2;2;1
Teija Ek-Marjamäki;Suomen Keskusta;Loimaa;ylempi korkeakoulututkinto;1961;suomi;suomi, englanti;female;2;1;1;0;1;1;2;2;1;1;2;1;2;2;2;2;1;2;2;3;2;1;0;1;2
Teija Elers;Perussuomalaiset;Mänttä-Vilppula;ylempi korkeakoulututkinto;1968;suomi;suomi, ruotsi, englanti, saksa;female;1;1;3;3;2;2;2;2;0;1;0;2;1;1;2;2;2;2;1;2;0;2;2;3;0
Teija Hämäläinen;Suomen Keskusta;Savitaipale;ammattitutkinto;1989;suomi;suomi, englanti;female;3;1;2;2;0;3;2;3;1;0;3;2;3;3;2;3;1;2;2;3;0;1;0;2;2
Teija Itkonen-brilli;Suomen Keskusta;Iisalmi;alempi korkeakoulututkinto;1963;suomi;suomi, englanti;female;2;2;1;1;1;2;3;1;2;0;3;1;3;3;1;1;0;2;3;2;1;0;0;1;3
Teija Löfholm;Vasemmistoliitto;Pietarsaari;alempi korkeakoulututkinto;1968;suomi;suomi, ruotsi, englanti;female;3;3;2;2;1;1;1;2;2;0;3;2;3;3;0;1;2;3;3;2;2;1;1;3;3
Teija Ristaniemi;Suomen Sosialidemokraattinen Puolue;Lohja;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti;female;0;0;1;0;1;1;3;3;2;0;3;3;3;3;2;1;0;0;3;3;1;1;0;3;3
Teija Savolainen-lipponen;Suomen Keskusta;Kuopio;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti;female;2;1;2;0;1;0;3;2;1;0;3;0;3;3;2;1;0;2;3;3;0;0;0;0;3
Teija Savolainen;Vihreä liitto;Porvoo;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti;female;3;3;0;1;2;2;3;3;2;0;3;2;3;3;1;2;2;3;3;3;2;1;0;2;3
Teija Sirola;Kansallinen Kokoomus;Rauma;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, joku muu;female;2;1;3;3;3;1;2;2;2;0;3;3;3;2;2;2;1;0;2;2;0;1;1;0;3
Teija Tiusanen;Kansallinen Kokoomus;Turku;ylempi korkeakoulututkinto;1962;suomi;suomi, ruotsi, englanti;female;1;0;3;2;1;0;3;3;2;0;2;1;2;3;2;0;2;0;3;3;0;2;0;2;2
Teija Tunturivuori;Vasemmistoliitto;Pori;ammattitutkinto;1963;suomi;suomi, ruotsi, englanti;female;3;3;1;1;1;2;1;3;2;1;3;1;3;3;1;1;0;3;3;2;2;1;0;2;1
Teija Töyräs;Vasemmistoliitto;Oulu;ammattitutkinto;1984;suomi;suomi, englanti;female;3;2;0;1;0;2;0;3;2;0;3;2;2;3;2;1;0;3;3;3;3;0;0;3;2
Teija Vuolle;Vasemmistoliitto;Seinäjoki;alempi korkeakoulututkinto;1987;suomi;;female;2;3;1;2;1;1;1;3;3;0;3;2;3;3;1;1;0;2;3;2;2;1;1;1;3
Teija Väisänen;Suomen Kommunistinen Puolue;Mäntyharju;ammattitutkinto;1981;suomi;;female;3;3;2;0;0;3;0;3;2;0;3;3;3;3;3;0;0;3;3;3;1;0;0;1;3
Teija Ylimäki;Suomen Kristillisdemokraatit (KD);Lapua;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;3;1;1;3;0;2;1;3;1;3;0;1;2;3;1;2;0;1;2;3;0;0;0;2;0
Teija Österlund;Vihreä liitto;Pori;ylempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;female;3;1;2;3;2;2;2;2;1;0;1;2;3;3;2;1;2;1;1;3;0;3;1;3;2
Teija-Tuulia Toivonen;Suomen Sosialidemokraattinen Puolue;Vantaa;alempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;3;3;0;1;0;1;1;3;2;1;2;2;3;3;1;0;0;2;3;3;2;1;0;3;3
Teijo Kallioniemi;Perussuomalaiset;Kotka;ammattitutkinto;1971;suomi;suomi;male;3;1;2;2;2;2;1;2;0;2;0;1;2;2;1;1;2;1;0;2;1;2;2;1;1
Teijo Liedes;Vasemmistoliitto;Ii;ylempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti;male;3;3;1;0;1;3;2;2;2;0;3;0;2;3;2;0;2;3;3;3;2;1;1;1;3
Teijo Pullinen;Perussuomalaiset;Hämeenlinna;joku muu;1957;suomi;englanti;male;3;2;3;0;2;3;2;3;0;2;2;1;3;3;0;3;2;3;1;3;1;1;1;3;1
Tellervo Tulisalo;Suomen Sosialidemokraattinen Puolue;Seinäjoki;ylempi korkeakoulututkinto;1978;suomi;suomi, englanti;female;3;2;1;3;2;2;1;3;2;1;2;1;3;2;0;2;2;2;2;2;2;2;0;2;2
Tenho Lindström;Suomen Sosialidemokraattinen Puolue;Kokkola;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;male;3;2;1;2;1;1;2;2;2;1;1;1;3;3;1;1;2;1;2;2;2;1;0;2;1
Tenho Niska;Suomen Sosialidemokraattinen Puolue;Kokkola;joku muu;2004;suomi;suomi, ruotsi, englanti;male;3;2;0;1;2;2;2;2;2;0;2;3;3;3;1;1;0;2;2;3;1;0;1;2;3
Teppana Euro;Vapauden liitto;Nurmijärvi;ylempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, venäjä;male;2;2;2;2;1;2;1;2;0;3;0;1;3;2;1;2;2;2;2;3;0;1;0;0;0
Teppo Hella;Perussuomalaiset;Kemijärvi;ammattitutkinto;1981;suomi;suomi, englanti;male;2;2;2;1;0;1;1;3;1;0;1;1;3;2;1;2;1;2;2;3;2;2;1;2;0
Teppo Herttuainen;Suomen Sosialidemokraattinen Puolue;Imatra;ylioppilas;1984;suomi;suomi, ruotsi, englanti;male;3;2;1;2;2;1;2;3;2;1;2;3;3;2;0;0;0;2;2;3;0;0;1;2;2
Teppo Kotilainen;Vasemmistoliitto;Hyvinkää;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;male;3;3;1;1;0;0;2;2;3;0;3;1;3;3;1;1;0;3;3;3;3;0;0;2;3
Teppo Tarnanen;Vihreä liitto;Joensuu;ylempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti, saksa;male;3;1;2;1;2;1;3;2;2;0;3;1;3;2;2;1;2;2;2;2;2;2;1;2;3
Teppo-veli Koski;Vasemmistoliitto;Jyväskylä;ylioppilas;1954;suomi;suomi, ruotsi;male;2;3;1;3;2;0;2;2;3;0;2;1;1;2;2;2;3;3;3;3;1;3;0;2;2
Terence Sam;Vihreä liitto;Seinäjoki;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;male;3;3;1;1;3;3;0;2;3;0;3;2;3;3;1;0;2;2;3;3;2;0;0;1;3
Teresa Kvick;Vasemmistoliitto;Nokia;alempi korkeakoulututkinto;1975;suomi;ruotsi, englanti;female;3;3;0;2;1;2;1;3;2;0;2;2;3;3;1;1;0;3;3;3;3;1;0;3;2
Terese Viberg;Suomen Sosialidemokraattinen Puolue;Hanko;ammattitutkinto;1991;ruotsi;suomi, ruotsi, englanti;female;3;3;2;0;0;1;1;3;2;0;0;3;3;3;1;2;0;2;2;3;0;0;0;1;1
Terhi Ahonen;Sitoutumaton;Tuusula;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti;female;1;1;0;3;2;2;2;2;2;2;2;0;3;3;0;1;1;2;3;1;1;0;1;1;3
Terhi Ala-Keturi;Suomen Keskusta;Virrat;ylempi korkeakoulututkinto;1992;suomi;suomi, ruotsi, englanti;female;2;2;1;0;1;1;1;3;2;0;2;1;3;2;1;2;1;2;2;3;2;0;0;2;1
Terhi Enjala;Kansallinen Kokoomus;Kerava;ammattitutkinto;1969;suomi;suomi, ruotsi, englanti;female;2;1;3;3;2;0;1;2;1;1;1;2;3;1;2;1;1;1;2;2;0;2;2;2;2
Terhi Heikkilä;Suomen Sosialidemokraattinen Puolue;Rovaniemi;joku muu;1970;suomi;suomi, ruotsi, englanti;female;3;2;0;2;1;1;2;3;2;0;2;2;3;3;2;1;1;1;3;2;1;2;1;0;2
Terhi Holm;Perussuomalaiset;Siilinjärvi;ammattitutkinto;1980;suomi;suomi, ruotsi, englanti;female;3;2;2;2;2;3;1;3;0;0;0;1;3;2;2;2;2;3;2;3;0;2;1;3;0
Terhi Holmberg;Vihreä liitto;Iitti;ylempi korkeakoulututkinto;1983;suomi;suomi, ruotsi, englanti;female;2;2;1;2;0;2;2;3;2;0;3;2;3;2;1;1;2;2;3;3;1;0;0;2;2
Terhi Häkkinen;Perussuomalaiset;Tornio;ammattitutkinto;1984;suomi;suomi, englanti;female;2;2;2;1;1;2;1;3;0;0;1;2;3;3;1;2;2;1;2;3;0;1;1;2;1
Terhi Lehtonen;Suomen Sosialidemokraattinen Puolue;Hämeenlinna;joku muu;1977;suomi;suomi, ruotsi, englanti, saksa;female;3;3;1;3;2;1;3;3;2;0;2;2;3;2;1;1;0;1;3;3;1;0;0;0;2
Terhi Leino;Suomen Sosialidemokraattinen Puolue;Tampere;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti;female;2;2;1;0;2;1;1;2;1;2;2;1;2;3;1;1;1;2;2;2;1;1;0;2;2
Terhi Leivo-Holmqvist;Suomen Sosialidemokraattinen Puolue;Pietarsaari;alempi korkeakoulututkinto;1955;suomi;suomi, ruotsi;female;3;2;2;1;2;1;2;2;2;1;1;2;3;3;0;1;2;1;2;2;0;2;2;3;2
Terhi Ontto-Panula;Kansallinen Kokoomus;Vaasa;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;3;2;2;2;0;2;2;2;0;1;0;1;3;3;1;2;1;1;3;3;0;2;1;0;1
Terhi Pakarinen;Suomen Keskusta;Rovaniemi;ammattitutkinto;1968;suomi;suomi, ruotsi, englanti;female;1;2;2;1;1;1;2;2;2;0;2;1;3;2;3;1;0;1;3;3;1;0;1;2;1
Terhi Raatesalmi-salonen;Suomen Sosialidemokraattinen Puolue;Vantaa;ylioppilas;1964;suomi;suomi, ruotsi, englanti, espanja;female;2;1;1;2;1;2;2;2;2;1;3;1;2;2;1;1;1;2;3;2;1;1;1;1;1
Terhi Raikas;Vihreä liitto;Hollola;ylempi korkeakoulututkinto;1993;suomi;suomi, ruotsi, englanti, saksa, venäjä;female;3;2;1;2;1;2;0;1;1;0;3;3;3;3;0;1;0;2;2;3;3;1;0;3;3
Terhi Räsänen;Suomen Keskusta;Kuopio;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, viittomakieli;female;1;1;2;1;1;1;3;3;2;0;3;2;3;3;0;2;0;2;2;3;1;1;1;2;2
Terhi Salmela;Kansallinen Kokoomus;Ranua;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;3;1;2;0;1;2;2;2;2;0;1;0;3;2;1;3;3;0;2;3;0;1;0;1;2
Terhi Salminen;Kansallinen Kokoomus;Vantaa;alempi korkeakoulututkinto;1976;suomi;suomi, englanti;female;2;0;1;2;3;2;1;2;0;0;3;0;3;3;1;0;2;1;0;2;1;2;1;2;1
Terhi Sundström;Suomen Keskusta;Espoo;alempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti;female;3;1;1;0;0;1;1;3;1;1;1;1;3;2;1;0;0;1;3;3;0;0;0;2;2
Terhi Suokas;Vasemmistoliitto;Espoo;alempi korkeakoulututkinto;1982;suomi;ruotsi, englanti;female;3;3;1;0;2;2;2;3;2;0;3;1;3;3;1;2;0;3;3;3;3;0;1;2;3
Terhi Taikavaara;Vihreä liitto;Pudasjärvi;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti;female;3;3;1;0;1;1;2;2;3;0;3;2;3;3;1;0;0;3;3;3;3;2;0;3;3
Terhi Tikkala;Suomen Keskusta;Pukkila;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, ranska, venäjä, espanja;female;3;1;2;2;0;1;2;2;2;0;3;3;2;2;2;2;0;2;3;3;2;1;0;2;3
Terhi Tuhkalainen;Kansallinen Kokoomus;Mikkeli;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;1;1;2;2;2;1;1;3;1;0;2;1;3;2;2;1;2;2;2;2;1;1;2;2;2
Terhi Valkeapää;Suomen Sosialidemokraattinen Puolue;Espoo;alempi korkeakoulututkinto;1976;suomi;suomi, englanti;female;3;2;1;1;2;1;1;3;2;1;2;2;3;2;1;1;1;1;2;2;1;1;1;2;2
Terhi Vesala;Sitoutumaton;Riihimäki;alempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;3;1;1;2;3;1;1;1;1;3;3;1;3;1;1;3;2;0;3;1;3;1
Terhi Vesterinen;Vihreä liitto;Asikkala;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti, saksa;female;2;2;1;1;1;1;1;2;2;0;3;2;2;1;1;2;0;3;3;1;2;1;0;3;3
Terhi Wuolijoki;Suomen Sosialidemokraattinen Puolue;Siuntio;ylempi korkeakoulututkinto;1952;suomi;suomi, ruotsi, englanti, saksa, ranska;female;3;2;0;0;0;1;3;2;2;0;3;2;3;3;0;1;0;2;3;2;0;2;0;3;3
Terje Juutilainen;Kansallinen Kokoomus;Rovaniemi;ylempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti;male;1;0;2;3;1;1;1;3;1;0;2;1;1;2;1;2;1;0;1;2;0;2;1;1;1
Tero Aaltonen;Vasemmistoliitto;Askola;ammattitutkinto;1977;suomi;ruotsi, englanti;male;2;2;0;1;0;2;1;2;2;0;2;2;2;2;1;0;0;3;2;2;2;1;0;3;2
Tero Forsman;Suomen Sosialidemokraattinen Puolue;Lappeenranta;alempi korkeakoulututkinto;1987;suomi;suomi, englanti;male;3;2;1;3;3;2;2;3;2;0;2;1;3;3;2;2;3;2;3;3;2;0;0;1;2
Tero Frondelius;Kansallinen Kokoomus;Laihia;ylempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;2;1;2;1;2;0;2;0;1;2;2;2;2;2;1;1;2;1;3;3;1;1
Tero Hakkarainen;Perussuomalaiset;Jyväskylä;ammattitutkinto;1983;suomi;;;2;3;2;1;0;1;0;3;1;2;0;3;3;3;0;2;0;2;3;3;1;0;1;2;0
Tero Hongisto;Suomen Keskusta;Kuopio;alempi korkeakoulututkinto;1960;suomi;suomi;male;2;2;2;1;0;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2
Tero Juuti;Vihreä liitto;Savonlinna;ylempi korkeakoulututkinto;1987;suomi;suomi, ruotsi, englanti;male;2;1;1;0;1;2;3;1;2;0;3;1;2;2;1;1;2;2;3;1;1;3;0;3;3
Tero Kainlauri;Vapauden liitto;Kajaani;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa, viro;male;1;2;2;3;3;1;0;3;3;0;1;2;3;3;1;1;3;1;3;3;0;0;1;3;0
Tero Kalavainen;Kansallinen Kokoomus;Jyväskylä;alempi korkeakoulututkinto;1967;suomi;suomi, englanti;male;3;1;2;2;3;1;2;2;2;0;2;1;3;3;1;1;1;1;1;2;0;2;2;1;1
Tero Koivisto;Perussuomalaiset;Vantaa;alempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;3;1;1;2;2;1;1;3;2;1;1;1;3;2;1;1;2;2;2;3;0;1;1;2;1
Tero Kokko;Perussuomalaiset;Kuusamo;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;1;3;3;0;0;2;0;3;0;0;0;0;3;3;1;1;0;1;3;3;0;2;0;2;0
Tero Nenonen;Kansallinen Kokoomus;Kitee;ammattitutkinto;1975;suomi;suomi, englanti;male;3;0;3;3;2;1;2;0;0;0;2;0;3;2;0;1;2;1;0;3;0;0;0;3;2
Tero Niemi;Liberaalipuolue - Vapaus valita;Espoo;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, joku muu;male;0;0;0;3;3;3;3;3;0;3;2;3;1;2;2;2;3;0;3;3;0;3;3;3;0
Tero Pirttilä;Suomen Keskusta;Somero;ammattitutkinto;1967;suomi;;male;2;2;2;1;0;1;1;3;1;1;1;1;2;3;1;2;1;2;2;3;1;1;1;2;1
Tero Pohjasniemi;Liberaalipuolue - Vapaus valita;Espoo;alempi korkeakoulututkinto;1985;suomi;suomi, englanti;male;0;0;2;2;1;1;3;2;3;0;3;0;2;2;3;0;2;1;3;2;2;3;1;3;3
Tero Räty;Suomen Kristillisdemokraatit (KD);Lohja;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;3;2;2;0;1;2;1;3;1;2;0;1;2;2;1;2;1;3;2;2;2;2;1;2;1
Tero Rönkkö;Perussuomalaiset;Orimattila;ammattitutkinto;1968;suomi;suomi, englanti, espanja;male;2;1;2;2;2;1;1;3;0;2;0;0;1;2;2;2;2;1;0;3;0;2;2;3;1
Tero Sulkakoski;Perussuomalaiset;Vaasa;ammattitutkinto;1969;suomi;suomi, ruotsi;male;3;3;3;3;1;0;1;3;0;0;0;3;3;3;0;1;0;1;1;3;3;3;0;3;0
Tero Suominen;Kansallinen Kokoomus;Askola;ammattitutkinto;1965;suomi;suomi, englanti;male;3;2;2;3;1;2;2;2;1;1;2;0;3;3;2;1;0;1;3;3;0;2;0;2;2
Tero Talja;Suomen Sosialidemokraattinen Puolue;Vaasa;alempi korkeakoulututkinto;1976;suomi;suomi, englanti;male;2;1;1;2;2;0;1;3;2;1;2;1;3;3;2;2;2;3;3;2;1;1;0;2;1
Tero Tammela;Suomen Kommunistinen Puolue;Jyväskylä;ammattitutkinto;1981;suomi;suomi, englanti;male;3;3;0;2;1;3;2;2;3;0;3;1;3;3;1;1;0;3;3;3;3;3;0;3;3
Tero Tiihonen;Suomen Keskusta;Kuopio;ammattitutkinto;1977;suomi;suomi, englanti;male;3;0;3;1;0;3;1;3;2;0;2;2;2;2;2;2;1;1;3;2;0;0;2;2;2
Tero Tolvanen;Vasemmistoliitto;Lieksa;ammattitutkinto;1975;suomi;suomi, englanti;male;2;3;1;3;0;2;1;2;2;0;3;2;3;3;2;0;1;3;3;3;3;0;0;3;3
Tero Turpeinen;Perussuomalaiset;Suonenjoki;ammattitutkinto;1988;suomi;suomi, englanti;male;2;1;2;2;1;2;1;3;0;2;0;1;2;2;1;2;2;1;1;2;0;2;2;3;0
Tero-Matti Satomaa;Kansallinen Kokoomus;Taipalsaari;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;male;2;1;3;3;3;1;1;3;0;0;1;0;3;3;2;2;2;2;3;3;0;0;2;2;0
Terttu Laaksonen;Suomen Kristillisdemokraatit (KD);Espoo;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti;female;1;1;0;2;2;1;2;2;2;0;1;2;2;1;2;1;2;2;2;2;0;2;1;1;3
Terttu Pohjolainen;Kansallinen Kokoomus;Lahti;ylempi korkeakoulututkinto;1951;suomi;suomi, ruotsi, englanti, saksa;female;2;1;3;3;2;1;2;3;2;2;2;1;2;2;2;2;2;1;1;2;0;1;1;2;2
Terttu-Liisa Lindholm;Perussuomalaiset;Kangasniemi;alempi korkeakoulututkinto;1965;suomi;suomi, englanti;female;3;2;2;3;1;2;0;0;0;0;1;0;2;3;0;0;0;3;3;3;0;0;0;2;1
Tessa Ollila;Vasemmistoliitto;Kuopio;alempi korkeakoulututkinto;1997;suomi;suomi, ruotsi, englanti, venäjä;female;3;3;0;0;2;2;1;3;3;0;3;2;3;3;0;0;1;2;3;3;2;0;0;1;3
Teuvo Antikainen;Suomen Keskusta;Jyväskylä;ylempi korkeakoulututkinto;1960;suomi;suomi, ruotsi, englanti;male;2;1;1;2;2;1;2;3;1;1;2;1;2;2;2;2;2;3;2;2;2;1;0;2;2
Teuvo Arvola;Kansallinen Kokoomus;Pöytyä;ylempi korkeakoulututkinto;1972;suomi;suomi;male;2;1;2;1;1;1;1;2;1;1;0;1;2;3;2;1;1;0;3;3;1;3;2;2;1
Teuvo Herranen;Vasemmistoliitto;Kruunupyy;ylempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti;male;2;3;1;1;1;2;1;2;1;0;2;1;2;3;0;1;1;3;1;3;3;3;1;3;2
Teuvo Hiltunen;Perussuomalaiset;Äänekoski;ammattitutkinto;1976;suomi;suomi, ruotsi, englanti;male;3;2;3;3;2;2;2;3;0;1;0;0;3;2;2;2;1;1;0;3;0;3;2;3;0
Teuvo Huhtanen;Suomen Keskusta;Laihia;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;male;2;1;3;2;1;2;2;2;0;0;1;1;0;1;3;3;3;1;1;3;1;2;0;0;0
Teuvo Moisa;Liberaalipuolue - Vapaus valita;Turku;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti;male;3;1;3;2;3;3;2;3;2;1;1;1;2;3;2;1;1;1;3;2;1;3;1;2;1
Teuvo Suominen;Perussuomalaiset;Kouvola;ammattitutkinto;1965;suomi;englanti;male;3;1;2;0;1;2;1;3;0;0;0;0;1;3;0;0;3;1;0;3;0;3;1;2;2
Therese Meriheinä;Suomen ruotsalainen kansanpuolue;Loviisa;alempi korkeakoulututkinto;1964;ruotsi;suomi, ruotsi, englanti, saksa;female;2;2;2;2;2;1;3;3;3;1;3;1;2;2;0;1;3;1;2;3;1;1;0;2;3
Thierry Botty van den Bruele .SIT;Liberaalipuolue - Vapaus valita;Espoo;alempi korkeakoulututkinto;1994;suomi;suomi, englanti, espanja;male;2;2;1;2;2;1;3;2;1;0;3;2;2;2;2;2;1;1;3;2;1;1;1;3;2
Thomas Karlsson;Vihreä liitto;Lieto;ylempi korkeakoulututkinto;1973;ruotsi;suomi, ruotsi, englanti;male;3;2;1;1;1;1;2;2;3;0;3;2;3;3;1;0;0;2;3;3;3;2;0;3;3
Thomas Kämper;Vapauden liitto;Vantaa;ylempi korkeakoulututkinto;1969;suomi;suomi, englanti;male;3;2;2;1;3;2;1;3;2;2;0;1;2;2;1;2;2;2;2;2;2;2;1;2;1
Tia Seppänen;Vihreä liitto;Vantaa;alempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;3;3;2;2;1;1;2;3;3;0;3;1;3;3;2;1;0;3;3;2;3;1;0;2;3
Tiia Alkkiomäki;Kansallinen Kokoomus;Vaasa;ylempi korkeakoulututkinto;1992;suomi;suomi, ruotsi, englanti, venäjä;female;1;0;2;3;0;1;0;3;0;0;1;1;0;2;0;0;2;1;2;2;0;2;1;3;1
Tiia Hervala;Kansallinen Kokoomus;Loppi;alempi korkeakoulututkinto;1983;suomi;suomi;female;1;1;3;3;1;1;3;2;1;0;1;1;2;2;2;2;2;1;1;3;0;1;2;2;1
Tiia Horila;Suomen Sosialidemokraattinen Puolue;Kokkola;alempi korkeakoulututkinto;1983;suomi;suomi, ruotsi, englanti;female;3;2;1;3;2;1;0;3;2;0;3;1;3;3;2;1;2;2;3;3;2;0;0;3;3
