Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Katja Lahti;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1972;suomi;suomi, englanti;female;2;2;2;1;0;1;1;3;1;2;1;0;1;3;0;0;1;1;2;1;3;0;1;0;2
Ritva Mäntymäki;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti, saksa;female;3;2;1;1;1;1;3;1;1;1;1;0;0;3;1;1;1;3;2;1;2;1;2;1;1
Tiina Nevanperä;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti;female;2;2;2;2;1;1;3;1;1;3;1;1;2;2;1;1;1;1;2;0;2;0;2;1;1
Mari Niemelä;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;2;0;2;3;0;0;3;2;2;0;2;1;0;2;2;1;2;3;3;1;3;0;2;0;1
Alissa Oja;Suomen Keskusta;Kalajoki;ylioppilas;2005;suomi;;female;3;1;3;3;2;0;2;3;2;3;2;1;2;2;0;0;2;2;2;0;3;1;3;2;1
Eija Pahkala;Suomen Keskusta;Kalajoki;ammattitutkinto;1957;suomi;suomi;female;2;1;2;1;1;1;3;2;3;2;0;0;0;2;2;1;2;0;2;0;2;0;0;1;0
Maija Pihlaja;Suomen Sosialidemokraattinen Puolue;Kalajoki;alempi korkeakoulututkinto;1978;suomi;suomi, ruotsi, englanti, ranska;female;3;0;2;3;0;2;3;1;3;1;0;0;2;3;0;1;2;2;3;0;3;0;0;0;2
Rosa Pisilä;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1975;suomi;suomi, englanti;female;3;0;2;1;2;2;2;1;0;1;2;0;1;2;0;1;1;2;2;1;2;1;2;0;2
Suvi Puhto;Kansallinen Kokoomus;Kalajoki;alempi korkeakoulututkinto;1984;suomi;englanti;female;3;1;2;3;2;1;2;2;2;2;2;2;1;2;0;2;2;2;2;1;2;1;1;1;2
Fanni Pöntiö;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;3;1;2;3;1;0;3;3;3;1;1;0;1;2;1;2;1;1;2;1;2;0;1;1;2
Hanna Saari;Kansallinen Kokoomus;Kalajoki;joku muu;1966;suomi;suomi, englanti, saksa, venäjä, espanja;female;2;1;2;1;1;1;2;3;3;1;2;1;0;3;1;2;1;1;3;0;3;0;1;1;3
Kirsi Salmi;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;3;2;1;2;1;0;2;2;1;2;1;0;1;1;1;1;1;0;1;2;1;2;0;0;1
Laura Sorvoja;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1993;suomi;suomi, englanti;female;3;0;1;3;2;1;0;0;2;1;0;1;0;3;0;0;1;1;2;0;2;1;0;0;2
Diana Terekiene;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1980;jokin muu;suomi, englanti, venäjä, joku muu;female;2;1;0;3;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;1;2;1;1;1;1
Marjella Turvanen;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1989;suomi;suomi, englanti;female;3;1;3;2;0;1;1;2;3;3;1;2;1;3;1;0;1;1;2;1;2;1;2;0;1
Heli-Marjatta Vuorinen;Kansallinen Kokoomus;Kalajoki;ylempi korkeakoulututkinto;1966;suomi;suomi, ruotsi, englanti;female;3;2;2;2;2;1;1;2;3;1;1;0;1;1;1;1;0;2;1;1;2;1;1;0;3
Jenika Ylikauppila;Kansallinen Kokoomus;Kalajoki;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;3;2;2;2;2;1;2;2;1;2;1;0;0;2;0;0;1;2;3;1;3;0;2;1;3
Jarmo Ainali;Kansallinen Kokoomus;Kalajoki;ylempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;male;2;3;1;1;1;0;2;3;3;2;0;1;0;2;1;0;1;2;3;0;1;0;0;1;1
Tomi Gronoff;Suomen Keskusta;Kalajoki;ammattitutkinto;1986;suomi;;male;3;2;0;2;2;0;1;2;3;3;2;0;1;2;1;1;2;3;3;1;2;0;1;0;1
Hannu Heikkilä;Suomen Keskusta;Kalajoki;ylioppilas;1974;suomi;suomi, ruotsi, englanti;male;3;2;2;3;1;0;3;1;1;2;0;1;0;1;1;3;1;2;3;2;2;0;0;1;1
Miika Heikkilä;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;male;2;2;2;1;0;1;2;2;2;1;2;0;0;2;1;0;2;3;2;0;2;0;1;2;1
Niko Hietalahti;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1988;suomi;suomi, englanti;male;3;1;0;3;3;0;3;2;3;2;0;2;0;1;1;2;0;0;1;2;1;1;0;1;1
Seppo Hihnala;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1960;suomi;suomi;male;2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1;1;1
Sami Hänninen;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;male;2;2;3;1;3;0;3;2;3;2;1;0;1;2;2;2;1;3;2;1;2;1;1;2;1
Olli Isokääntä;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1994;suomi;suomi, englanti;male;3;1;2;3;1;1;2;2;3;2;1;1;0;1;2;2;1;1;2;2;2;1;1;1;1
Juha Junnikkala;Kansallinen Kokoomus;Kalajoki;joku muu;1968;suomi;ruotsi, englanti;male;3;2;2;2;0;1;2;2;3;2;1;0;0;2;1;0;0;1;3;2;3;0;1;2;3
Tuomas Kupari;Suomen Keskusta;Kalajoki;ammattitutkinto;1988;suomi;;male;2;1;1;2;2;0;3;2;2;1;1;2;2;0;1;2;0;2;2;2;2;1;1;2;1
Antti Kuusisto;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;male;3;1;2;2;2;0;2;2;2;2;2;1;0;0;1;2;2;2;2;2;2;1;1;1;2
Tommi Känsäkangas;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1975;suomi;suomi, englanti;male;3;2;0;2;0;0;2;1;3;2;0;1;1;0;1;2;0;2;2;1;1;1;0;1;1
Hannu Lahti;Vihreä liitto;Kalajoki;alempi korkeakoulututkinto;1946;suomi;suomi, ruotsi, englanti;male;3;0;3;2;0;3;2;1;1;3;1;0;0;3;0;0;3;3;3;0;3;0;3;0;2
Matti Myllylä;Suomen Keskusta;Kalajoki;ammattitutkinto;1959;suomi;suomi, ruotsi, englanti;male;2;2;2;2;2;0;2;1;2;2;2;0;0;3;1;1;1;1;2;1;1;1;1;1;0
Otto Märsylä;Suomen Keskusta;Kalajoki;ylioppilas;2004;suomi;suomi, englanti;male;2;1;2;2;1;0;3;1;1;2;1;0;1;0;1;1;0;1;3;1;1;1;0;1;0
Sami Mölsä;Kansallinen Kokoomus;Kalajoki;ammattitutkinto;1981;suomi;suomi, englanti;male;2;1;2;1;2;0;0;1;2;2;1;0;1;3;1;2;1;1;1;0;2;0;0;1;1
Matti Nikkola;Perussuomalaiset;Kalajoki;ammattitutkinto;1979;suomi;suomi;male;2;2;1;2;2;1;2;2;2;1;1;2;2;1;2;2;1;1;1;2;1;2;1;1;1
Antti Nikula;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1983;suomi;suomi, englanti;male;2;1;1;2;1;1;3;2;2;2;0;0;0;1;2;2;1;3;2;0;2;1;1;0;0
Ville Nikula;Suomen Keskusta;Kalajoki;ammattitutkinto;1987;suomi;;male;2;1;1;2;2;0;2;2;1;2;1;1;1;0;1;2;0;1;1;2;1;1;1;1;0
Pekka Nuorala;Suomen Keskusta;Kalajoki;joku muu;1969;suomi;suomi;male;3;2;2;2;1;0;3;2;3;3;1;2;0;0;1;1;1;1;2;2;2;0;1;1;1
Kari Passi;Suomen Keskusta;Kalajoki;ylempi korkeakoulututkinto;1954;suomi;suomi, englanti;male;3;1;1;1;1;0;2;1;1;3;2;1;1;0;1;2;0;3;3;1;1;1;0;2;1
Gergely Pataki;Kansallinen Kokoomus;Kalajoki;alempi korkeakoulututkinto;1981;jokin muu;suomi, englanti, saksa, joku muu;male;3;2;0;1;1;0;2;2;2;3;1;1;1;2;1;1;0;2;2;0;2;2;0;0;0
Reijo Perander;Suomen Kristillisdemokraatit (KD);Kalajoki;ammattitutkinto;1950;suomi;suomi, saksa;male;2;2;1;2;1;0;3;3;2;2;2;2;0;1;1;2;2;2;0;1;0;2;1;1;0
Tomme Pöyhtäri;Suomen Keskusta;Kalajoki;ammattitutkinto;1990;suomi;suomi, ruotsi, englanti;male;2;2;2;3;3;0;3;1;1;2;0;2;0;1;2;3;0;1;2;1;2;1;2;2;0
Ari Rautakoski;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1986;suomi;suomi;male;2;2;2;2;2;0;3;2;2;2;1;1;1;2;2;2;1;2;2;1;2;1;1;1;0
Toni Saarela;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;male;3;1;2;2;2;0;3;2;3;1;0;1;0;0;2;2;0;1;2;1;1;1;0;0;0
Marko Sarkkinen;Suomen Sosialidemokraattinen Puolue;Kalajoki;alempi korkeakoulututkinto;1975;suomi;suomi, englanti;male;2;1;1;2;2;0;2;1;2;2;2;1;1;2;1;2;0;3;1;2;1;2;1;1;1
Perttu Siermala;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1979;suomi;;male;3;2;0;1;1;0;2;2;1;1;0;0;1;2;1;1;2;3;3;0;2;0;0;1;2
Risto Tilus;Suomen Keskusta;Kalajoki;alempi korkeakoulututkinto;1980;suomi;suomi, englanti;male;3;1;2;2;2;0;2;2;1;1;2;2;0;0;1;1;1;2;2;1;1;0;2;1;2
Juha Tuliniemi;Vasemmistoliitto;Kalajoki;ammattitutkinto;1959;suomi;suomi;male;3;1;1;1;0;1;1;0;0;1;0;0;2;3;0;0;3;3;3;1;3;1;1;1;2
Mikko Ulvi;Vihreä liitto;Kalajoki;alempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti;male;2;1;3;1;1;2;1;0;0;1;0;0;2;3;1;1;2;1;2;0;3;0;2;2;3
Pauli Ålander;Suomen Keskusta;Kalajoki;ammattitutkinto;1968;suomi;suomi, englanti;male;3;1;1;2;1;0;3;2;2;2;1;1;0;2;1;2;0;2;1;2;1;2;0;1;0
Tero Översti;Suomen Keskusta;Kalajoki;ammattitutkinto;1977;suomi;suomi, englanti;male;2;1;0;3;0;0;3;2;1;3;2;1;0;2;2;3;1;3;1;0;3;0;2;2;1
Tiina Aalto;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1961;suomi;;female;3;1;3;3;0;1;2;3;1;3;0;0;0;3;0;2;1;3;2;0;2;0;3;0;1
Marja-leena Ahonen;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1955;suomi;suomi, ruotsi, englanti, saksa, ranska, espanja;female;3;2;2;1;1;1;2;2;2;1;1;0;2;2;1;1;2;2;3;1;3;0;2;1;2
Tanja Ala-mononen;Kansallinen Kokoomus;Järvenpää;alempi korkeakoulututkinto;1971;suomi;suomi, englanti;female;3;2;3;2;0;1;0;1;3;2;0;2;1;3;1;1;2;2;0;2;2;0;1;2;1
Karoliina Arrenius;Järvenpään Plus yhteislista;Järvenpää;ylempi korkeakoulututkinto;1982;suomi;suomi, englanti;female;3;1;3;1;1;1;0;2;1;1;2;1;0;3;0;0;3;3;3;0;2;1;1;0;3
Anne Elisabet Belt;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1982;suomi;suomi, englanti;female;3;2;3;1;1;3;0;1;2;1;0;0;1;2;1;0;2;2;3;1;2;1;2;2;3
Annamari Brandão;Suomen Kristillisdemokraatit (KD);Järvenpää;joku muu;1979;suomi;suomi, ruotsi, englanti, saksa;female;2;2;1;3;2;0;3;2;2;1;1;1;1;1;1;1;0;2;2;1;1;1;1;1;0
Taru Deniz;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1990;suomi;suomi, englanti;female;3;0;2;3;1;3;0;1;1;2;0;1;1;3;1;0;3;3;3;0;3;0;2;1;3
Mona Geitel;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;2002;suomi;suomi, ruotsi, englanti;female;3;1;2;1;2;2;0;1;3;0;0;0;0;3;0;0;2;3;3;1;3;0;2;1;3
Hanna Graeffe;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti, saksa, ranska;female;2;3;3;2;1;3;1;1;0;3;1;2;3;3;1;0;3;2;3;0;3;0;2;1;3
Iida Grönroos;Vasemmistoliitto;Järvenpää;ammattitutkinto;1998;suomi;suomi, englanti;female;2;1;2;1;1;1;2;1;0;2;2;1;1;2;2;2;3;3;2;1;2;1;2;1;3
Päivi Haapala;Suomen Keskusta;Järvenpää;ylioppilas;1965;suomi;suomi, ruotsi, englanti, saksa;female;3;1;1;2;2;0;3;1;1;3;1;1;2;2;0;1;1;3;2;0;2;1;2;0;2
Satu Haaparanta;Suomen Keskusta;Järvenpää;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti, saksa, espanja, viro;female;2;1;2;2;1;0;3;3;3;1;1;2;1;2;0;1;1;3;2;1;1;0;2;1;0
Jonna Heinonen;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;3;1;2;2;0;2;1;1;1;1;0;2;1;3;0;0;2;2;3;0;2;1;2;0;3
Emilia Heiskanen;Vasemmistoliitto;Järvenpää;ammattitutkinto;1989;suomi;englanti;female;2;0;2;1;0;3;1;1;2;1;0;0;0;3;0;0;2;2;3;0;3;0;2;0;3
Emma Hietaoja;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti;female;3;2;2;1;1;3;1;0;0;1;0;1;2;3;0;0;2;3;3;0;2;1;2;0;3
Hanna Hongisto;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1985;suomi;englanti;female;3;2;2;1;0;2;1;2;1;2;2;2;1;3;1;1;2;3;3;0;3;1;2;1;3
Tuulia Hongisto;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1981;suomi;suomi, englanti;female;3;2;1;1;0;3;2;1;1;3;2;1;2;3;1;1;2;3;3;0;2;0;2;1;3
Kirsi Janhunen;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;3;1;1;1;0;1;1;2;2;0;1;2;1;2;1;0;1;2;2;0;2;0;1;0;2
Nea Karenius;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti;female;2;1;2;0;0;2;1;1;1;1;1;1;1;3;1;1;1;2;2;0;2;1;1;1;3
Evelyn Karkkulainen;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1979;jokin muu;suomi, englanti, ranska;female;3;2;2;1;1;2;2;2;2;2;1;3;1;3;1;0;1;3;3;1;3;0;1;0;1
Sipuliina Kinanen;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, italia;female;3;0;3;1;0;3;0;0;2;2;0;1;0;3;0;0;3;3;3;0;3;0;2;0;3
Suvi Kolehmainen;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1982;suomi;suomi, ruotsi, englanti;female;2;0;1;0;0;1;2;3;3;1;2;0;1;2;1;2;0;1;2;0;1;0;1;1;3
Pirjo Komulainen;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1958;suomi;suomi, englanti;female;3;1;2;1;0;3;2;1;0;2;2;1;3;3;0;0;3;3;3;0;3;0;3;2;3
Saana Korhonen;Vasemmistoliitto;Järvenpää;alempi korkeakoulututkinto;1987;suomi;ruotsi, englanti, saksa, ranska, espanja;female;3;1;3;1;1;3;0;0;0;3;1;0;2;3;0;0;2;3;2;0;3;0;2;0;3
Marja Kosonen;Suomen Keskusta;Järvenpää;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti;female;3;0;3;3;1;1;3;2;3;2;0;0;0;2;0;2;0;3;2;1;3;0;1;0;2
Johanna Kulmala;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1984;suomi;englanti;female;2;1;2;1;1;2;1;2;2;1;1;1;1;3;0;1;2;2;3;0;2;0;1;0;3
Katri Kuusikallio;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1967;suomi;ruotsi, englanti, joku muu;female;2;2;1;1;1;3;2;1;2;2;1;2;2;3;1;1;2;2;3;0;2;1;2;1;2
Tuija Kuusisto;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1963;suomi;suomi, englanti;female;1;1;2;1;0;1;2;3;2;1;0;2;0;3;1;1;0;3;3;2;0;1;1;1;1
Anu Kähkönen;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1969;suomi;suomi, ruotsi, englanti, saksa;female;3;1;2;1;0;1;2;2;3;1;0;0;0;2;0;1;1;3;2;0;2;1;1;0;2
Katja Kärkkäinen;Järvenpään Plus yhteislista;Järvenpää;alempi korkeakoulututkinto;1982;suomi;suomi, englanti;female;3;1;2;2;1;1;1;1;1;3;1;1;1;3;3;1;2;1;2;1;2;1;2;1;1
Kristiina Laitinen;Vasemmistoliitto;Järvenpää;ylioppilas;1960;suomi;ruotsi, englanti;female;3;1;2;0;1;1;1;0;1;2;0;0;1;3;0;0;2;3;3;1;2;0;1;0;2
Mimmi Launiala;Vasemmistoliitto;Järvenpää;alempi korkeakoulututkinto;1977;suomi;suomi;female;3;0;2;2;1;2;1;1;0;2;0;0;2;3;0;0;3;3;2;0;3;0;2;0;3
Heini Lehtonen;Järvenpään Plus yhteislista;Järvenpää;ylempi korkeakoulututkinto;1966;suomi;englanti;female;3;0;2;3;0;3;2;1;1;2;1;1;1;3;0;0;2;1;2;0;2;0;1;1;2
Heini Liimatainen;Vasemmistoliitto;Järvenpää;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, venäjä;female;2;2;3;1;1;3;0;0;0;3;0;2;2;3;0;0;3;3;3;0;3;0;2;1;3
Tiia Lintula;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1981;suomi;suomi, ruotsi, englanti, ranska;female;3;2;3;1;0;3;2;1;1;2;0;0;2;3;0;0;1;3;2;0;3;0;2;0;3
Minna Lohtander;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1970;suomi;suomi, ruotsi, englanti, saksa, ranska;female;3;1;1;2;1;2;2;1;1;2;1;2;2;3;1;1;1;2;2;1;2;1;1;1;2
Arja Loima;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1963;suomi;suomi, englanti;female;3;2;1;1;0;2;2;1;1;1;1;1;1;3;1;1;2;3;3;0;2;0;1;2;3
Pinja Lumitsalo;Suomen Sosialidemokraattinen Puolue;Järvenpää;alempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;3;1;2;3;2;2;2;1;2;3;0;1;1;3;0;1;3;3;3;0;2;0;2;0;2
Satu Lumme;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1988;suomi;suomi, englanti, saksa, ranska, espanja;female;3;0;2;2;0;3;1;1;1;2;0;0;2;3;1;0;1;3;2;1;2;1;1;0;3
Reija Lummemäki;Vasemmistoliitto;Järvenpää;ammattitutkinto;1982;suomi;suomi, englanti;female;2;1;1;3;1;1;1;3;0;0;2;0;0;2;0;0;2;3;2;1;2;2;1;0;3
Laura Majander;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;1;2;2;2;3;2;1;1;2;0;1;1;3;0;2;3;2;3;0;3;0;1;0;3
Marja-Kaarina Marttila;Suomen Kristillisdemokraatit (KD);Järvenpää;ylempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti, saksa;female;3;1;2;2;0;0;3;3;3;1;0;1;1;0;1;2;1;1;3;1;1;1;1;2;0
Jenni Marttinen;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;3;1;2;2;1;2;2;1;1;2;2;0;2;3;0;0;2;3;2;0;3;0;2;0;3
Linda Mutalahti;Kansallinen Kokoomus;Järvenpää;alempi korkeakoulututkinto;1999;suomi;suomi, englanti, ranska, espanja;female;2;1;1;2;2;0;3;1;2;1;1;2;1;3;1;1;2;2;3;2;2;0;1;1;0
Emmi Mäkinen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ammattitutkinto;1976;suomi;suomi, englanti;female;3;2;2;2;1;3;2;0;0;2;1;1;2;3;0;1;2;3;2;1;2;0;1;1;3
Pauliina Naala;Suomen Sosialidemokraattinen Puolue;Järvenpää;ammattitutkinto;1968;suomi;suomi, englanti;female;3;1;2;1;1;2;2;0;1;3;2;1;2;3;0;0;3;3;2;0;3;0;2;0;3
Sofia Nevalainen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1995;suomi;suomi, englanti;female;2;2;2;1;0;2;2;2;3;1;0;1;3;2;1;1;2;2;3;0;2;0;2;0;3
Reetta Nick;Vihreä liitto;Järvenpää;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;female;3;0;2;2;1;1;1;1;1;1;0;2;2;3;0;0;2;2;2;0;1;0;1;1;3
Iida Niva-Vesala;Kansallinen Kokoomus;Järvenpää;ylioppilas;1994;suomi;suomi, ruotsi, englanti, joku muu;female;3;2;3;0;0;2;0;3;2;0;3;3;1;3;1;2;2;1;2;0;1;0;2;0;3
Synne Nordström;Suomen ruotsalainen kansanpuolue;Järvenpää;alempi korkeakoulututkinto;1961;ruotsi;suomi, englanti, saksa, ranska, espanja;female;3;0;3;3;1;1;1;1;3;1;0;0;1;2;0;0;3;3;3;0;3;0;1;1;2
Tiina-marjo Nousiainen;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1964;suomi;suomi, englanti;female;2;3;1;1;0;2;2;3;3;1;0;0;2;1;2;2;1;0;3;0;2;0;0;1;1
Anne Partanen;Järvenpään Plus yhteislista;Järvenpää;alempi korkeakoulututkinto;1993;suomi;suomi, englanti;female;3;0;2;3;1;3;1;1;1;1;0;1;2;3;0;0;2;2;2;0;2;1;2;1;2
Päivi Pasanen;Suomen Kristillisdemokraatit (KD);Järvenpää;ylioppilas;1953;suomi;suomi, englanti;female;2;1;2;2;2;2;2;1;0;2;1;2;2;2;1;0;2;3;2;0;1;1;1;1;0
Tiina Pelkonen;Suomen Sosialidemokraattinen Puolue;Järvenpää;joku muu;1955;suomi;suomi, ruotsi, englanti;female;3;1;2;2;1;3;2;0;0;2;2;0;2;3;0;0;3;3;3;0;3;0;3;0;3
Kirsi Peltonen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1961;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;0;0;3;1;1;1;1;1;1;1;3;2;1;2;3;3;0;3;0;2;1;3
Heidi Perkiö;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1977;suomi;suomi, ruotsi, englanti, saksa;female;1;3;2;0;0;2;2;3;1;0;2;3;2;2;1;2;1;3;2;1;1;0;2;1;3
Satu Pienkuukka;Kansallinen Kokoomus;Järvenpää;alempi korkeakoulututkinto;1971;suomi;suomi, ruotsi, englanti;female;3;1;3;2;0;1;2;3;2;2;1;2;1;1;1;1;2;2;1;3;2;3;1;1;2
Kirsi Puhjo;Kansallinen Kokoomus;Järvenpää;ammattitutkinto;1973;suomi;suomi, ruotsi, englanti;female;2;1;2;2;0;1;2;2;2;1;1;1;1;2;1;1;1;2;2;1;2;1;1;1;2
Anna Pulkkinen;Suomen Keskusta;Järvenpää;ammattitutkinto;1976;suomi;;female;2;0;0;3;1;0;3;3;3;2;2;2;0;3;0;0;1;2;2;1;1;1;1;0;1
Kaisla Rahkola;Vasemmistoliitto;Järvenpää;ylempi korkeakoulututkinto;1994;suomi;ruotsi, englanti;female;3;1;2;1;0;3;0;0;0;2;0;1;3;3;0;0;1;3;3;0;3;0;1;1;3
Riitta Saarnivuo;Kansallinen Kokoomus;Järvenpää;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;3;2;1;2;0;0;2;2;2;2;1;1;1;2;1;2;1;2;2;1;2;1;1;1;2
Taru Salmivuori;Suomen Sosialidemokraattinen Puolue;Järvenpää;ylempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti, saksa, venäjä, espanja;female;2;0;2;2;1;0;1;1;2;2;1;1;0;1;1;1;0;2;1;1;2;1;1;0;1
Terttu Sihvola-rauttu;Kansallinen Kokoomus;Järvenpää;ammattitutkinto;1945;suomi;suomi, ruotsi, englanti, saksa, italia;female;2;1;3;1;1;2;3;3;3;3;1;1;3;2;0;1;1;2;2;1;2;1;2;1;0
Hanna Sinkko;Vihreä liitto;Järvenpää;alempi korkeakoulututkinto;1985;suomi;suomi, englanti;female;3;2;1;3;1;3;1;1;3;2;3;1;1;3;0;0;3;3;3;0;1;0;2;0;3
Minna-maria Solanterä;Vasemmistoliitto;Järvenpää;alempi korkeakoulututkinto;1959;suomi;suomi, ruotsi, englanti, saksa;female;3;1;3;1;0;2;0;0;0;2;1;0;2;3;0;0;3;3;3;0;3;0;3;0;3
Emmi Suomilammi;Kansallinen Kokoomus;Järvenpää;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, ranska;female;2;1;3;1;0;2;1;2;3;0;1;2;2;3;0;1;3;2;2;1;1;0;2;2;3
Jaana Syrjänen;Suomen Sosialidemokraattinen Puolue;Järvenpää;ammattitutkinto;1978;suomi;;female;3;2;2;2;1;1;2;1;0;2;0;1;2;2;1;2;0;3;2;1;0;3;0;0;3
Jenni Tapaila;Vihreä liitto;Järvenpää;ylioppilas;1988;suomi;suomi, ruotsi, englanti, saksa, venäjä, espanja;female;3;0;2;1;1;2;1;0;1;2;0;0;1;3;0;0;3;3;3;0;3;0;2;0;3
