Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Verneri Nurmela,SDP,Espoo,ylempi korkeakoulututkinto,1997,suomi,male,3,1,3,1,0,1,0,0,1,3,1,0,1,3,0,0,3,3,3,0,3,0,1,1,3
Olli Nurmi,Kok.,Espoo,ylempi korkeakoulututkinto,1984,suomi,male,0,1,3,1,0,0,1,3,3,0,0,1,1,3,0,1,3,2,3,1,1,0,1,1,2
Niko Ohvo,PS,Espoo,ylempi korkeakoulututkinto,1988,suomi,male,2,1,0,1,0,0,3,3,1,0,3,3,0,1,1,3,0,2,0,3,0,3,0,2,1
Jami Ojala,SDP,Espoo,ammattitutkinto,2000,suomi,male,3,1,2,2,1,2,1,1,2,1,0,1,2,3,1,1,3,3,3,0,3,0,2,1,3
Elias Okkonen,KD,Espoo,alempi korkeakoulututkinto,1971,suomi,male,2,2,1,2,2,1,3,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,0
Matias Ollila,Kesk.,Espoo,ylempi korkeakoulututkinto,1983,suomi,male,3,0,2,2,2,1,2,2,0,0,2,1,2,3,0,1,3,3,2,0,3,0,2,2,2
Oliver Otterström,RKP,Espoo,alempi korkeakoulututkinto,1999,ruotsi,male,3,0,2,1,0,1,1,3,3,0,1,3,1,2,1,1,1,1,2,0,2,0,1,2,1
Olli-Pekka Paasivirta,Vihr.,Espoo,ylempi korkeakoulututkinto,1996,suomi,male,2,2,2,0,0,2,1,2,2,1,0,2,1,2,1,1,3,2,3,0,2,0,1,1,3
Martti Paldanius,Kok.,Espoo,alempi korkeakoulututkinto,2001,suomi,male,2,2,3,3,1,1,3,3,3,0,0,2,0,2,1,2,1,2,1,3,0,2,0,2,0
Pekka Palomäki,RKP,Espoo,ylempi korkeakoulututkinto,1968,suomi,male,3,1,3,2,0,1,2,2,2,2,1,1,2,2,0,1,3,1,2,0,1,1,2,1,2
Immo Parviainen,Vas.,Espoo,ylempi korkeakoulututkinto,1954,suomi,male,3,1,3,2,1,1,1,0,0,2,2,0,2,3,0,0,2,3,3,0,3,0,3,0,3
Kari Paunonen,PS,Espoo,peruskoulu,1958,suomi,male,3,0,1,1,2,0,2,2,3,2,2,1,0,3,0,1,0,3,1,3,0,3,1,0,0
Wiljami Pekonen,Kesk.,Espoo,alempi korkeakoulututkinto,2001,suomi,male,2,1,2,2,1,1,2,1,3,1,1,1,0,2,0,1,2,3,2,1,2,1,2,1,2
Heikki Pernu,KD,Espoo,ylempi korkeakoulututkinto,1974,suomi,male,2,1,2,3,2,0,3,3,2,0,0,2,0,1,2,2,0,3,3,2,2,2,1,1,0
Tapio Pesola,Vihr.,Espoo,ylempi korkeakoulututkinto,1980,suomi,male,2,2,2,1,1,3,1,2,3,1,0,2,3,3,1,1,3,3,2,0,3,0,2,2,3
Tero Pohjasniemi,Lib.,Espoo,alempi korkeakoulututkinto,1985,suomi,male,2,2,3,1,0,2,0,3,2,0,0,2,0,3,1,0,3,1,3,1,2,0,0,1,3
Visa Pollari,Lib.,Espoo,alempi korkeakoulututkinto,1995,suomi,male,0,3,3,1,0,2,1,3,2,0,0,3,0,2,1,1,1,0,2,1,0,2,0,2,1
Antero Polso,KD,Espoo,ylempi korkeakoulututkinto,1953,suomi,male,1,2,2,3,3,0,3,2,3,1,1,2,1,2,1,0,1,2,3,0,3,0,1,2,0
Matti Pouhakka,Kok.,Espoo,alempi korkeakoulututkinto,1965,suomi,male,3,3,3,0,0,0,2,3,3,1,0,2,1,2,1,1,1,1,2,1,1,3,0,0,0
Mika Poutala,KD,Espoo,ylioppilas,1983,suomi,male,3,1,2,3,2,0,3,2,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,0
Veikka Putkisaari,SDP,Espoo,alempi korkeakoulututkinto,2002,suomi,male,2,1,2,2,2,2,0,1,2,2,1,1,1,2,1,2,2,3,3,1,3,0,2,0,3
Joonas Päivärinta,Vihr.,Espoo,ylempi korkeakoulututkinto,1982,suomi,male,2,1,1,2,2,2,2,1,0,3,0,3,0,3,0,0,3,3,3,1,2,0,0,0,3
Elmeri Pälikkö,Vihr.,Espoo,alempi korkeakoulututkinto,1998,suomi,male,3,2,3,2,0,3,1,1,0,2,0,2,2,3,0,1,3,3,3,0,3,0,3,1,3
Joni Raatikainen,PS,Espoo,ammattitutkinto,1986,suomi,male,3,2,2,2,0,0,3,3,3,0,0,2,0,1,0,0,0,0,0,3,0,3,0,0,0
Henrik Ramm-Schmidt,RKP,Espoo,alempi korkeakoulututkinto,1977,ruotsi,male,3,0,3,3,0,2,0,1,0,1,1,0,1,3,0,0,3,2,3,0,3,0,2,1,3
Tuukka Rannantie,Lib.,Espoo,ylioppilas,1989,suomi,male,2,2,2,1,0,2,1,3,0,2,0,3,0,3,2,2,2,2,3,1,1,0,1,3,3
Tero Rantala,SDP,Espoo,alempi korkeakoulututkinto,1974,suomi,male,3,1,1,2,1,2,2,2,1,2,1,1,0,1,0,0,1,2,2,0,2,0,1,1,1
Sami Rapakko,SDP,Espoo,alempi korkeakoulututkinto,1993,suomi,male,3,1,2,1,2,3,1,2,1,3,0,0,0,3,0,3,3,3,3,0,2,0,3,1,3
Otto Rask,SKP,Espoo,ylioppilas,1990,suomi,male,3,0,2,2,0,3,0,0,0,3,0,1,3,3,0,1,3,2,3,0,3,0,3,0,3
Simo Repo,Kesk.,Espoo,ylempi korkeakoulututkinto,1946,suomi,male,2,1,2,3,2,2,2,1,0,1,2,1,2,3,0,1,3,3,3,0,3,0,1,2,2
Arto Ritari,Kesk.,Espoo,ylempi korkeakoulututkinto,1971,suomi,male,3,0,2,3,1,1,2,2,3,0,2,1,2,2,1,1,2,2,3,0,3,0,2,1,2
Peter Rolin,RKP,Espoo,ylempi korkeakoulututkinto,1968,ruotsi,male,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2
Markku Ruotsalainen,Vihr.,Espoo,ylempi korkeakoulututkinto,1965,suomi,male,2,1,2,2,1,2,1,1,1,1,1,1,1,3,0,0,2,2,2,1,2,0,2,2,2
Henrik Räihä,RKP,Espoo,ylempi korkeakoulututkinto,1945,ruotsi,male,2,1,3,2,2,1,3,2,3,1,2,2,2,2,0,1,2,3,3,0,3,0,2,2,2
Sakari Räty,PS,Espoo,ammattitutkinto,1990,suomi,male,3,2,2,3,1,0,2,3,2,2,1,2,0,3,2,3,0,3,1,2,1,3,0,1,2
Oskar Rönnberg,Vas.,Espoo,ylempi korkeakoulututkinto,1993,ruotsi,male,2,1,3,3,0,3,2,0,1,3,0,1,2,3,0,1,3,3,3,0,3,0,2,1,3
Eppu Saarela,Vihr.,Espoo,ylempi korkeakoulututkinto,1984,suomi,male,2,2,1,1,0,2,1,1,1,1,1,1,2,2,1,1,1,2,3,1,3,1,2,1,2
Aki Saariaho,Vihr.,Espoo,ylempi korkeakoulututkinto,1972,suomi,male,3,2,3,2,2,3,0,0,0,0,0,0,3,3,0,0,0,2,3,0,3,0,1,2,3
Antti Saarinen,Vas.,Espoo,ylioppilas,1965,suomi,male,3,1,3,2,2,2,0,1,1,2,1,2,2,1,1,0,2,2,2,0,2,1,3,1,2
Harshwardhan Saini,Vihr.,Espoo,ylempi korkeakoulututkinto,1992,jokin muu,male,3,1,3,2,1,3,0,1,0,2,1,2,2,3,0,0,3,3,3,0,3,0,2,1,3
Antti Sakki,SDP,Espoo,ylempi korkeakoulututkinto,1977,suomi,male,3,1,2,1,0,1,1,1,1,1,0,1,2,3,0,1,2,3,2,0,2,0,2,0,2
Esa-jussi Salminen,SDP,Espoo,ylempi korkeakoulututkinto,1972,suomi,male,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,3,2,1,2,1,2,1,2
Seppo Salo,Kesk.,Espoo,ammattitutkinto,1944,suomi,male,3,1,0,2,2,1,3,2,2,0,2,2,0,2,0,1,1,2,2,1,2,1,2,2,0
Mika Salonoja,Vihr.,Espoo,ylempi korkeakoulututkinto,1964,suomi,male,3,2,1,2,1,3,2,1,0,2,0,1,0,3,0,0,3,1,2,0,1,0,1,2,3
Tere Sammallahti,Kok.,Espoo,ylempi korkeakoulututkinto,1981,suomi,male,2,3,1,0,0,0,0,3,3,0,0,2,1,1,2,3,1,1,1,3,0,3,0,3,0
Aleksi Sarasmaa,Kok.,Espoo,ylempi korkeakoulututkinto,1994,suomi,male,3,0,3,3,0,2,2,3,1,1,2,3,0,2,1,0,1,3,2,0,1,0,0,3,1
Eetu Savolainen,Lib.,Espoo,ylempi korkeakoulututkinto,1995,suomi,male,1,3,2,0,0,1,0,3,3,0,0,3,0,3,2,3,2,2,2,0,0,1,0,1,3
Ari Schauman,SDP,Espoo,ylempi korkeakoulututkinto,1964,suomi,male,3,1,2,2,1,2,0,1,3,2,0,2,2,3,1,0,3,2,2,0,3,0,2,1,3
Toni Seppänen,PS,Espoo,ammattitutkinto,1979,suomi,male,3,1,2,2,0,1,3,2,2,2,2,1,2,2,0,1,1,2,0,1,1,3,1,0,0
Simon Shiferaw,Kok.,Espoo,alempi korkeakoulututkinto,2000,suomi,male,3,2,1,2,0,1,2,2,2,1,0,1,1,2,0,0,2,3,3,1,2,0,1,2,3
Sauli Similä,KD,Espoo,ylempi korkeakoulututkinto,1958,suomi,male,1,2,2,3,2,1,3,2,2,1,1,1,0,2,1,2,1,2,1,0,2,0,0,1,0
Nagendra Singh,SDP,Espoo,ylempi korkeakoulututkinto,1979,jokin muu,male,3,1,3,2,1,2,1,1,0,1,1,1,2,2,1,1,3,3,3,0,3,0,2,1,3
Markku Sistonen,SDP,Espoo,alempi korkeakoulututkinto,1959,suomi,male,3,1,2,3,0,1,3,1,0,1,0,1,3,3,0,1,3,3,2,1,2,0,1,0,3
Oscar Smith,Vihr.,Espoo,ylioppilas,2003,suomi,male,3,1,2,1,0,3,1,1,2,2,0,1,2,3,0,1,3,3,3,0,3,0,2,1,3
Vesa Sorasahi,Kesk.,Espoo,ylempi korkeakoulututkinto,1952,suomi,male,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,3,0,2,1,1,2,2
Mikael Sorri,Vihr.,Espoo,ylempi korkeakoulututkinto,1969,suomi,male,3,1,3,1,0,3,2,1,2,2,1,0,1,3,0,0,3,3,3,0,3,0,2,0,3
Mikael Sorvanto,Kok.,Espoo,ylioppilas,2003,suomi,male,1,2,1,2,1,0,2,3,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1
Sergiu Stavarache,Kesk.,Espoo,ammattitutkinto,1980,jokin muu,male,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,0
Matias Suni,Kesk.,Espoo,peruskoulu,2007,suomi,male,3,0,3,2,1,1,3,1,0,1,0,0,1,2,3,0,2,3,3,2,3,1,1,2,1
Hannu Suntio,SDP,Espoo,ylempi korkeakoulututkinto,1953,suomi,male,2,1,2,1,0,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,0,2
Martti Suontausta,Kok.,Espoo,ylempi korkeakoulututkinto,1985,suomi,male,3,3,3,2,1,3,1,3,3,0,0,2,0,3,0,0,2,2,3,0,2,1,1,3,3
Matti Suppala,PS,Espoo,ylempi korkeakoulututkinto,1986,suomi,male,2,0,0,2,1,0,3,2,2,2,2,2,0,2,0,2,0,2,0,3,0,3,0,2,0
Antti Sutinen,Kok.,Espoo,alempi korkeakoulututkinto,1976,suomi,male,3,2,2,1,1,1,2,2,3,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2
Jetro Sutinen,Vihr.,Espoo,alempi korkeakoulututkinto,1998,suomi,male,3,0,3,2,0,3,0,0,0,0,0,1,2,3,0,0,3,3,3,0,3,0,3,0,3
Vesa Suvanto,PS,Espoo,ylempi korkeakoulututkinto,1988,suomi,male,3,0,1,2,3,0,3,3,3,0,3,0,1,1,0,3,0,0,0,3,2,3,0,2,0
Markku Svensk,KD,Espoo,peruskoulu,1962,suomi,male,3,0,1,3,2,0,3,1,0,3,0,0,0,2,2,2,1,3,2,2,0,0,3,0,0
Samuel Sylf,Kesk.,Espoo,ylioppilas,1989,suomi,male,3,1,2,3,0,1,2,3,3,1,0,2,3,3,0,0,3,3,2,2,2,1,1,3,3
Jouni Särkijärvi,Kok.,Espoo,ylempi korkeakoulututkinto,1948,suomi,male,1,2,2,1,0,1,2,3,3,0,0,3,0,2,0,1,3,1,2,0,2,1,1,2,2
Ilkka Särkiö,Vihr.,Espoo,ylempi korkeakoulututkinto,1993,suomi,male,2,1,3,0,1,3,0,0,0,2,0,2,3,3,0,0,3,3,3,0,3,0,2,1,3
Victor Söderholm,Vas.,Espoo,ammattitutkinto,2005,suomi,male,3,0,3,2,1,3,0,0,0,3,0,0,3,3,0,0,3,3,3,0,3,0,2,0,3
Markus Söderman,RKP,Espoo,ylempi korkeakoulututkinto,1985,ruotsi,male,2,1,3,1,0,2,1,2,1,1,1,1,0,2,0,1,3,2,3,0,3,0,1,1,2
Upi Talsi,Kok.,Espoo,ylempi korkeakoulututkinto,1967,suomi,male,3,1,2,1,1,0,2,2,2,2,2,0,1,3,0,1,2,3,2,0,2,1,2,0,2
Teemu Tarvainen,SDP,Espoo,ylempi korkeakoulututkinto,1983,suomi,male,2,1,3,2,0,1,0,2,0,0,0,0,1,3,0,1,3,3,3,0,3,0,3,1,3
Kari Terho,Kok.,Espoo,alempi korkeakoulututkinto,1961,suomi,male,3,2,2,1,2,0,2,0,3,3,0,3,2,1,2,1,0,2,3,0,2,0,1,1,3
Jay Thompson,Kok.,Espoo,ylempi korkeakoulututkinto,1970,jokin muu,male,3,1,2,2,1,2,1,2,2,1,1,2,1,3,1,0,3,2,3,0,2,0,1,1,1
Petri Toivola,Kok.,Espoo,alempi korkeakoulututkinto,1968,suomi,male,2,2,2,1,1,1,2,2,3,2,1,2,1,2,1,2,1,3,2,1,2,0,1,1,2
Juhana Turpeinen,Kesk.,Espoo,ylempi korkeakoulututkinto,1989,suomi,male,3,0,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,3,3,1,2,0,2,1,1
Janne Tähtikunnas,Kok.,Espoo,ylempi korkeakoulututkinto,1977,suomi,male,2,2,3,2,0,0,3,3,3,1,1,2,0,2,2,2,1,2,3,0,2,2,1,2,0
Tuukka-juhana Ukkonen,Kok.,Espoo,ylempi korkeakoulututkinto,1976,suomi,male,2,2,3,2,1,0,2,2,2,3,0,1,2,0,1,2,0,3,2,0,1,2,1,2,2
Jukka Uosukainen,KD,Espoo,ylempi korkeakoulututkinto,1955,suomi,male,2,1,2,2,3,1,3,2,2,2,1,1,2,1,1,2,0,2,2,1,1,1,1,1,0
Niklas Uotinen,SDP,Espoo,alempi korkeakoulututkinto,1979,suomi,male,3,2,2,1,0,1,2,1,0,1,1,3,0,2,0,2,1,1,2,1,3,0,2,1,2
Paul Usvalampi,PS,Espoo,ylioppilas,1978,suomi,male,3,2,1,3,1,0,3,3,1,2,1,2,2,3,0,1,0,2,0,3,0,3,1,2,0
Otto Vaalea,PS,Espoo,joku muu,1991,suomi,male,3,0,1,2,2,0,3,3,3,2,1,1,0,2,1,2,0,2,0,3,0,3,1,0,0
Santtu Vainionpää,PS,Espoo,ammattitutkinto,1973,suomi,male,3,0,0,1,0,0,0,3,2,3,2,3,0,1,1,2,0,2,0,3,0,3,0,2,0
Jori Valto,VL,Espoo,ammattitutkinto,2004,suomi,male,3,0,2,2,2,0,3,2,2,3,0,2,0,2,1,3,0,2,0,3,0,2,1,2,0
Joel Vanhanen,Kok.,Espoo,alempi korkeakoulututkinto,2001,suomi,male,2,2,3,0,0,2,1,3,3,0,0,2,0,3,2,1,3,2,3,0,2,0,1,2,3
Tommi Virtanen,Kesk.,Espoo,ylempi korkeakoulututkinto,1967,suomi,male,3,1,2,2,3,1,2,1,1,2,2,2,1,2,0,1,2,2,2,1,1,1,2,1,1
Henrik Vuornos,Kok.,Espoo,ylioppilas,1993,suomi,male,3,2,3,0,0,2,1,3,3,0,0,1,0,3,1,1,3,2,3,0,2,1,1,2,3
Tapio Väänänen,Vihr.,Espoo,ammattitutkinto,1993,suomi,male,3,1,3,1,0,3,1,2,3,2,1,1,2,3,1,0,3,3,2,0,3,0,1,0,3
Sami Wacklin,PS,Espoo,ylioppilas,1972,suomi,male,3,1,2,2,1,0,3,3,3,1,0,2,1,2,0,1,0,1,0,3,0,3,1,2,0
Mika-Erik Walls,Vas.,Espoo,ylempi korkeakoulututkinto,1966,ruotsi,male,3,1,2,2,1,1,3,0,1,2,1,1,1,3,0,1,1,0,2,1,2,1,2,0,2
Hans Weurlander,Kok.,Espoo,ylioppilas,2004,ruotsi,male,3,3,3,2,1,0,3,3,3,0,0,2,0,0,2,3,1,1,1,3,0,2,0,2,1
Mikko Wikstedt,PS,Espoo,ylempi korkeakoulututkinto,1963,suomi,male,3,1,3,2,0,0,3,2,3,3,2,0,2,3,2,3,0,3,0,1,1,3,1,3,0
Mehdi Yarmohammadi,RKP,Espoo,ylempi korkeakoulututkinto,1978,jokin muu,male,2,1,2,2,2,2,1,2,1,1,2,1,1,2,0,0,3,2,3,0,3,0,2,1,2
Zabi Yawari,SDP,Espoo,alempi korkeakoulututkinto,1990,jokin muu,male,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,3,1,3,0,2,0,2
Waqar Zafar,SDP,Espoo,ylempi korkeakoulututkinto,1989,jokin muu,male,2,3,1,1,1,1,3,3,2,2,1,0,2,3,1,2,3,3,3,1,3,1,2,1,1
Ahsan Zia,SDP,Espoo,ylempi korkeakoulututkinto,1990,jokin muu,male,2,1,2,3,3,1,0,3,3,3,2,1,3,2,2,1,3,3,3,0,3,0,1,1,1
Caspar von Walzel,RKP,Espoo,alempi korkeakoulututkinto,1976,ruotsi,male,3,1,3,1,0,1,0,2,3,0,2,2,0,2,0,0,1,3,2,0,1,1,2,0,2
Miika Ihonen,Vas.,Espoo,ylempi korkeakoulututkinto,1985,suomi,other,3,0,2,3,0,3,1,0,0,3,0,1,2,3,0,0,3,3,3,0,3,0,3,1,3
Jiri Keronen,PS,Espoo,ylioppilas,1984,suomi,other,3,0,2,3,0,0,0,3,3,2,0,3,0,1,2,3,0,2,0,3,0,3,0,2,0
Ilkka Valta,Vas.,Espoo,ylempi korkeakoulututkinto,1977,suomi,other,3,0,3,3,1,3,0,0,0,3,0,0,3,3,1,0,3,3,3,0,3,0,2,0,3
Inka Vuorinen,Vihr.,Espoo,alempi korkeakoulututkinto,1991,suomi,other,3,0,3,1,0,3,0,1,1,3,0,0,2,3,0,0,3,3,3,0,3,0,1,2,3
Henna Ruusu,Vihr.,Espoo,ylempi korkeakoulututkinto,1975,suomi,,2,0,2,3,0,3,1,1,1,2,0,1,3,3,0,1,3,3,3,0,3,0,1,1,3
Antti Vuolanne,SDP,Espoo,ylempi korkeakoulututkinto,1967,suomi,,3,1,2,2,3,1,2,1,1,2,0,0,2,3,1,1,2,3,3,0,3,0,3,0,3
Sonja Peschkow,Vihr.,Espoo,ylempi korkeakoulututkinto,1968,suomi,,3,1,1,2,0,3,0,0,0,3,0,1,1,3,0,0,3,3,2,0,3,0,2,1,3
Reetta Ahtola,Vas.,Eura,alempi korkeakoulututkinto,1980,suomi,female,3,2,2,2,3,3,0,2,0,1,1,2,1,3,0,1,2,3,3,0,3,0,2,1,3
Sari Kiiski,Kok.,Eura,alempi korkeakoulututkinto,1966,suomi,female,2,1,1,2,1,2,1,2,2,2,0,1,1,3,1,1,2,1,2,1,2,1,1,3,2
Varpu Kivelä,KD,Eura,alempi korkeakoulututkinto,1978,suomi,female,3,1,2,3,3,0,3,2,2,2,0,1,0,2,1,1,0,2,3,1,2,1,2,1,0
Katriina Kiviniemi,Vas.,Eura,ylempi korkeakoulututkinto,1952,suomi,female,2,1,1,2,2,2,0,1,0,3,1,1,1,3,0,0,2,3,3,0,3,0,3,2,3
Sanna Kotiranta,PS,Eura,alempi korkeakoulututkinto,1990,suomi,female,2,0,2,2,0,0,3,3,3,1,0,0,2,1,2,3,0,2,2,2,0,2,0,2,0
Julia Lehtimäki,Kesk.,Eura,ylioppilas,2003,suomi,female,3,2,2,1,1,0,2,2,3,2,0,1,0,1,1,1,0,0,1,2,0,1,0,1,1
Eveliina Lehto,Kok.,Eura,ammattitutkinto,1991,suomi,female,2,0,0,2,2,0,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,2,0,2,2
Laura Niemi,KD,Eura,alempi korkeakoulututkinto,1983,suomi,female,2,1,0,3,2,0,3,2,1,2,0,2,0,3,1,1,0,2,2,1,0,1,0,1,0
Nelli Nurminen,PS,Eura,ammattitutkinto,1984,suomi,female,3,1,1,2,1,1,2,1,1,2,0,1,1,2,1,2,2,2,1,1,1,1,1,1,1
Sanna Prykäri,SDP,Eura,ylioppilas,1998,suomi,female,2,2,2,2,0,1,0,2,2,1,0,0,1,2,1,1,2,1,2,1,2,1,1,0,3
Mirka Sarin,PS,Eura,ammattitutkinto,1980,suomi,female,3,0,0,3,3,1,2,3,3,3,2,3,2,0,2,3,0,3,0,3,0,3,1,2,2
Maija Sinkkonen,SDP,Eura,alempi korkeakoulututkinto,1989,suomi,female,3,1,2,1,0,1,2,1,1,1,2,0,2,2,1,2,2,3,2,0,2,1,2,1,0
Anne Suominen,Kok.,Eura,alempi korkeakoulututkinto,1957,suomi,female,3,0,1,2,3,1,3,2,1,0,0,2,2,3,1,1,1,2,3,0,2,1,1,2,0
Eve Sydänsävel,Liik.,Eura,ammattitutkinto,1983,suomi,female,2,0,2,2,1,0,0,1,2,2,1,2,0,1,1,1,1,2,1,2,2,2,2,2,1
Tiina Vihavainen,SDP,Eura,alempi korkeakoulututkinto,1966,suomi,female,2,1,1,3,3,1,2,2,2,2,2,1,1,2,1,1,1,2,0,1,1,2,1,1,0
Tuomas Halminen,KD,Eura,ammattitutkinto,1993,suomi,male,2,0,0,3,2,0,3,3,3,2,0,1,0,0,1,0,0,2,0,2,0,2,0,2,0
Teijo Heinonen,Kok.,Eura,joku muu,1963,suomi,male,2,3,1,1,1,2,2,3,2,2,2,1,0,2,2,1,1,0,2,1,1,1,0,3,0
Rauli Helin,PS,Eura,ammattitutkinto,1969,suomi,male,3,1,1,3,3,0,2,3,2,2,1,0,2,2,1,2,0,3,1,3,1,2,0,0,0
Oskari Helkkula,PS,Eura,ammattitutkinto,1980,suomi,male,1,0,0,0,0,0,3,2,3,2,0,0,0,0,3,3,0,0,2,2,0,2,0,2,0
Markku Huppunen,PS,Eura,ammattitutkinto,1981,suomi,male,2,0,1,2,1,0,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,3,1,2,0
Riku Juhola,Kesk.,Eura,peruskoulu,1980,suomi,male,2,0,1,2,2,0,3,3,2,2,1,0,0,0,2,2,0,2,2,2,1,2,1,0,0
Kalle Juusela,Kesk.,Eura,ylempi korkeakoulututkinto,1994,suomi,male,0,1,0,0,0,0,3,3,3,3,0,1,0,0,2,3,0,0,2,1,0,1,0,3,0
Jussi Kivelä,KD,Eura,ylempi korkeakoulututkinto,1978,suomi,male,3,0,2,3,3,0,3,2,2,2,0,1,1,2,2,2,0,3,2,1,2,2,2,2,0
Vesa Koivisto,Kesk.,Eura,alempi korkeakoulututkinto,1962,suomi,male,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1
Vesa Koski,Kok.,Eura,alempi korkeakoulututkinto,1977,suomi,male,2,1,0,1,1,0,3,3,3,2,0,2,1,0,2,2,0,0,3,0,1,1,0,2,2
Virtanen Lauri allan,Vas.,Eura,ammattitutkinto,1985,suomi,male,3,0,3,3,2,0,2,0,1,3,1,1,0,2,0,2,1,3,3,0,3,0,2,0,1
Jani Lehtilä,Kok.,Eura,ammattitutkinto,1999,suomi,male,3,0,1,0,0,0,2,3,3,0,0,2,0,1,2,2,0,2,2,2,0,2,0,1,1
Harri Lehtonen,SDP,Eura,ylempi korkeakoulututkinto,1963,suomi,male,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2
Kimmo Mieskoski,KD,Eura,ylempi korkeakoulututkinto,1991,ruotsi,male,2,0,1,2,1,1,2,1,2,2,0,1,0,2,0,1,1,1,2,1,1,1,1,1,1
Juha Myllykoski,Vas.,Eura,ammattitutkinto,1981,suomi,male,3,2,1,1,0,1,1,1,0,3,0,1,1,2,1,2,2,2,2,1,0,1,0,0,1
Aki Mäki,PS,Eura,alempi korkeakoulututkinto,1976,suomi,male,3,0,0,2,3,0,2,2,2,2,2,0,2,2,1,1,1,3,2,2,2,2,1,1,1
Timo Nurminen,SDP,Eura,ammattitutkinto,1957,suomi,male,3,1,2,1,0,0,0,2,0,2,0,1,1,2,1,1,1,1,2,0,2,1,0,1,2
Tommi Pelkonen,Vas.,Eura,ammattitutkinto,1972,suomi,male,0,1,1,1,2,0,2,1,1,2,0,2,0,2,1,1,0,2,1,2,1,3,1,1,1
Hannu Pellikka,Kesk.,Eura,alempi korkeakoulututkinto,1989,suomi,male,3,0,2,2,0,0,3,3,2,2,1,2,0,0,1,2,0,0,1,2,1,1,0,2,1
Ari Reunanen,SDP,Eura,ylempi korkeakoulututkinto,1984,suomi,male,2,1,2,1,1,1,1,1,1,1,0,0,2,2,1,2,2,1,2,1,2,1,1,2,2
Ilkka Ruohomaa,Kesk.,Eura,ammattitutkinto,1975,suomi,male,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1
Jesse Salonen,PS,Eura,ylioppilas,1993,suomi,male,3,1,1,1,1,0,3,3,3,2,1,1,2,1,2,3,0,2,1,3,0,3,0,2,0
Jyri Sarin,PS,Eura,ammattitutkinto,1977,suomi,male,3,0,0,1,2,0,3,3,2,3,0,1,2,0,2,2,0,1,1,3,0,3,0,2,0
Tami Sirén,Vihr.,Eura,ylempi korkeakoulututkinto,1973,suomi,male,2,1,2,2,3,2,1,1,1,2,0,1,1,3,1,1,2,2,2,1,2,0,2,1,2
Pertti Susi,SDP,Eura,peruskoulu,1957,suomi,male,3,1,0,2,1,1,1,3,1,2,0,1,1,2,1,1,1,3,1,2,1,2,1,2,1
Seppo Varjonen,Vas.,Eura,ylempi korkeakoulututkinto,1955,suomi,male,3,0,0,3,0,2,0,1,0,3,0,0,3,3,0,0,2,3,3,0,2,0,1,2,1
Pauliina Aalto,SDP,Eurajoki,alempi korkeakoulututkinto,1987,suomi,female,2,2,1,3,2,0,3,1,1,3,1,0,1,1,1,1,0,2,2,1,2,1,2,2,1
